"TimeBase"	"PLC_PRG.lrAGVPos"	"PLC_PRG.lrAGVSpeed"	"PLC_PRG.uiTranspID"	"PLC_PRG.lrSetSpeed"
28324	1098.325	200	1000	200
59695	1100.325	200	1000	200
89957	1102.325	200	1000	200
121505	1104.325	200	1000	200
151368	1106.325	200	1000	200
183071	1108.325	200	1000	200
213589	1110.325	200	1000	200
244573	1112.325	200	1000	200
274704	1114.325	200	1000	200
305899	1116.325	200	1000	200
336990	1118.325	200	1000	200
367032	1120.325	200	1000	200
398407	1122.325	200	1000	200
428596	1124.325	200	1000	200
458433	1126.325	200	1000	200
489050	1128.325	200	1000	200
519010	1130.325	200	1000	200
548983	1132.325	200	1000	200
579765	1134.325	200	1000	200
609772	1136.325	200	1000	200
639796	1138.325	200	1000	200
669788	1140.325	200	1000	200
699920	1142.325	200	1000	200
729955	1144.325	200	1000	200
759882	1146.325	200	1000	200
791461	1148.325	200	1000	200
822354	1150.325	200	1000	200
852340	1152.325	200	1000	200
882477	1154.325	200	1000	200
912374	1156.325	200	1000	200
942466	1158.325	200	1000	200
974002	1160.325	200	1000	200
1004060	1162.325	200	1000	200
1033902	1164.325	200	1000	200
1065095	1166.325	200	1000	200
1095589	1168.325	200	1000	200
1125683	1170.325	200	1000	200
1155718	1172.325	200	1000	200
1187241	1174.325	200	1000	200
1217144	1176.325	200	1000	200
1247203	1178.325	200	1000	200
1277460	1180.325	200	1000	200
1307652	1182.325	200	1000	200
1338032	1184.325	200	1000	200
1368099	1186.325	200	1000	200
1399004	1188.325	200	1000	200
1429939	1190.325	200	1000	200
1461031	1192.325	200	1000	200
1492483	1194.325	200	1000	200
1522539	1196.325	200	1000	200
1552663	1198.325	200	1000	200
1584316	1200.325	200	1000	200
1614233	1202.325	200	1000	200
1645425	1204.325	200	1000	200
1676807	1206.325	200	1000	200
1707769	1208.325	200	1000	200
1737790	1210.325	200	1000	200
1768138	1212.325	200	1000	200
1799755	1214.325	200	1000	200
1831473	1216.325	200	1000	200
1861718	1218.325	200	1000	200
1892593	1220.325	200	1000	200
1922905	1222.325	200	1000	200
1952590	1224.325	200	1000	200
1984188	1226.325	200	1000	200
2014282	1228.325	200	1000	200
2045431	1230.325	200	1000	200
2075584	1232.325	200	1000	200
2105752	1234.325	200	1000	200
2135714	1236.325	200	1000	200
2165751	1238.325	200	1000	200
2197207	1240.325	200	1000	200
2227360	1242.325	200	1000	200
2258810	1244.325	200	1000	200
2288721	1246.325	200	1000	200
2319487	1248.325	200	1000	200
2349437	1250.325	200	1000	200
2380264	1252.325	200	1000	200
2410988	1254.325	200	1000	200
2440828	1256.325	200	1000	200
2470782	1258.325	200	1000	200
2502103	1260.325	200	1000	200
2532161	1262.325	200	1000	200
2562252	1264.325	200	1000	200
2592721	1266.325	200	1000	200
2622753	1268.325	200	1000	200
2652762	1270.325	200	1000	200
2683103	1272.325	200	1000	200
2713585	1274.325	200	1000	200
2743613	1276.325	200	1000	200
2773654	1278.325	200	1000	200
2805071	1280.325	200	1000	200
2835299	1282.325	200	1000	200
2865290	1284.325	200	1000	200
2894837	1286.325	200	1000	200
2925018	1288.325	200	1000	200
2954794	1290.325	200	1000	200
2984916	1292.325	200	1000	200
3014926	1294.325	200	1000	200
3046002	1296.325	200	1000	200
3076828	1298.325	200	1000	200
3107108	1300.325	200	1000	200
3138578	1302.325	200	1000	200
3169823	1304.325	200	1000	200
3201145	1306.325	200	1000	200
3231041	1308.325	200	1000	200
3262276	1310.325	200	1000	200
3293166	1312.325	200	1000	200
3323116	1314.325	200	1000	200
3354160	1316.325	200	1000	200
3384660	1318.325	200	1000	200
3414690	1320.325	200	1000	200
3444678	1322.325	200	1000	200
3474892	1324.325	200	1000	200
